Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
1890000	-2.72	4.696977751703748	-2.72	23828	0.5464	0.0001	0.16396484	6.297436597148577
1900000	-2.54	3.667206020937466	-2.54	23960	0.5439999999999999	0.0001	0.1779846	6.332602606349521
1910000	-2.09	3.6085869810772193	-2.09	24085	0.5416000000000001	0.0001	0.12561078	6.368198587430848
1920000	-2.56	3.58697644263243	-2.56	24213	0.5391999999999999	0.0001	0.30280164	6.403409114215109
1930000	-3.02	4.164084533243773	-3.02	24337	0.5367999999999999	0.0001	0.2414608	6.438542861673567
1940000	-2.88	3.795470985266519	-2.88	24470	0.5344	0.0001	0.25324872	6.473535939388805
1950000	-2.01	3.2015465013021442	-2.01	24603	0.532	0.0001	0.26652232	6.508712956574228
1960000	-2.42	3.774069421725042	-2.42	24730	0.5296000000000001	0.0001	0.17106463	6.543814382354419
1970000	-2.06	3.6326849574385056	-2.06	24863	0.5272	0.0001	0.25472093	6.578867542478774
1980000	-2.09	3.826473572363986	-2.09	24990	0.5247999999999999	0.0001	0.71395415	6.613957720796267
1990000	-2.32	3.295087252259035	-2.32	25120	0.5224	0.0001	0.10599654	6.649261280099551
2000000	-2.5	4.360045871318328	-2.5	25248	0.52	0.0001	0.18443753	6.68411842127641
2010000	-1.65	3.6752550931874106	-1.65	25378	0.5176	0.0001	0.30828938	6.718923733565543
2020000	-2.05	3.4099120223255026	-2.05	25508	0.5152000000000001	0.0001	0.25802958	6.753832839197583
2030000	-2.83	3.959936868183633	-2.83	25639	0.5127999999999999	0.0001	0.20886339	6.788678616682688
2040000	-2.18	3.5759753914142083	-2.18	25761	0.5104	0.0001	0.50300515	6.823560665514734
2050000	-2.37	3.783265785006387	-2.37	25893	0.508	0.0001	0.3060664	6.8585667229361
2060000	-1.86	3.1812576129574923	-1.86	26019	0.5056	0.0001	0.30250794	6.894040384027693
2070000	-1.96	3.411509929635263	-1.96	26145	0.5031999999999999	0.0001	0.23810855	6.9289163644446266
2080000	-2.51	3.7080857595260652	-2.51	26271	0.5008	0.0001	0.2908331	6.963915199504958
2090000	-2.39	3.8727122278837087	-2.39	26395	0.49839999999999995	0.0001	36.98384	6.998916930158933
2100000	-1.87	3.697715510960788	-1.87	26521	0.4959999999999999	0.0001	0.21284701	7.033993124167124
2110000	-2.23	4.004634814811458	-2.23	26650	0.49360000000000004	0.0001	0.13857086	7.068883605798086
2120000	-2.44	3.4592484732958977	-2.44	26781	0.49119999999999997	0.0001	0.24890737	7.103914706905683
2130000	-2.69	3.9004999679528267	-2.69	26916	0.4888	0.0001	0.3788044	7.138919116457303
2140000	-2.09	3.447013199858683	-2.09	27048	0.48639999999999994	0.0001	0.21970385	7.174518859055307
2150000	-2.64	3.948468057360981	-2.64	27174	0.484	0.0001	0.19868086	7.209554759793812
2160000	-2.77	4.1781694556348485	-2.77	27307	0.48160000000000003	0.0001	0.69855875	7.244600765903791
2170000	-1.96	3.5353076245215207	-1.96	27439	0.47919999999999996	0.0001	0.41432816	7.27954259481695
